u,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnitedNations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PopulationDivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DepartmentofEconomicandSocialAffairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldPopulationProspects2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FilePOP/7-2:Malepopulationbyfive-yearagegroup,region,subregionandcountry,1950-2100(thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates,1950-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/POP/F07-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright?2019byUnitedNations,madeavailableunderaCreativeCommonslicenseCCBY3.0IGO:http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suggestedcitation:UnitedNations,DepartmentofEconomicandSocialAffairs,PopulationDivision(2019).WorldPopulationProspects2019,OnlineEdition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malepopulationbyfive-yearagegroup(thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region,subregion,countryorarea*",Notes,Countrycode,Type,Parentcode,Referencedate(asof1July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1,Estimates,WORLD,,900,World,0,1950,172420,138298,133686,122155,113207,97626,84570,81447,73163,63548,52644,42560,34381,25077,16577,9344,3877,1297,317,59,9
2,Estimates,WORLD,,900,World,0,1955,207941,161087,134817,130542,118354,109515,94211,81154,77551,68433,58722,46808,36007,26899,17544,9942,4466,1314,297,47,6
3,Estimates,WORLD,,900,World,0,1960,221606,196203,158035,131917,126961,115443,106321,90924,77485,73198,63488,52410,39688,28289,18948,10561,4791,1558,308,46,5
4,Estimates,WORLD,,900,World,0,1965,244985,210104,192262,155046,128692,123992,112472,103171,87399,73243,67940,57213,44788,31641,20284,11823,5345,1775,389,50,5
5,Estimates,WORLD,,900,World,0,1970,267293,234848,207446,189471,151513,126114,121401,109517,100025,83743,68800,62367,50239,36906,23612,13196,6288,2079,461,65,6
6,Estimates,WORLD,,900,World,0,1975,278289,257638,231924,204456,186012,149375,124117,118939,106715,96390,79382,63469,55306,41842,27949,15554,7160,2499,564,80,8
7,Estimates,WORLD,,900,World,0,1980,280164,269790,255353,229895,201553,183132,147063,121215,115890,102792,91594,73799,56883,46983,32352,19060,8430,2918,707,106,10
8,Estimates,WORLD,,900,World,0,1985,302397,272585,267331,253189,226726,198800,180677,144556,118502,112019,97976,85313,66377,48430,36661,22089,10597,3492,855,138,14
9,Estimates,WORLD,,900,World,0,1990,330649,295190,270567,265117,249684,223348,196063,177771,141551,114928,107210,91899,77332,57131,38411,25605,12636,4569,1045,171,18
10,Estimates,WORLD,,900,World,0,1995,319726,323931,293461,267996,260565,245657,220512,193012,174145,137312,110195,100513,83549,66624,45521,27114,15019,5638,1419,210,22
11,Estimates,WORLD,,900,World,0,2000,318141,314049,321975,290819,263671,256835,242158,216840,188816,169182,131807,103555,91650,72561,53447,32633,16226,6934,1814,294,27
12,Estimates,WORLD,,900,World,0,2005,324554,313764,312860,319208,286149,259967,253567,238602,212536,183226,162554,125073,95399,80279,59155,38818,20194,7806,2341,394,39
13,Estimates,WORLD,,900,World,0,2010,337184,320668,312621,310243,314102,282854,257046,250592,234515,207729,177092,154422,115278,84638,66381,43806,24923,10217,2792,545,57
14,Estimates,WORLD,,900,World,0,2015,346247,333336,318749,310734,307555,311265,279880,253472,246335,229289,201053,168629,143440,102859,70994,50199,28822,13141,3911,703,85
15,Estimates,WORLD,,900,World,0,2020,349433,342928,331497,316642,308287,306059,309237,276447,249390,241233,222610,192215,157180,128939,87186,54755,33649,15757,5328,1078,124
16,Estimates,UNdevelopmentgroups,a,1803,Label/Separator,900,1950,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
17,Estimates,UNdevelopmentgroups,a,1803,Label/Separator,900,1955,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
18,Estimates,UNdevelopmentgroups,a,1803,Label/Separator,900,1960,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
19,Estimates,UNdevelopmentgroups,a,1803,Label/Separator,900,1965,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
20,Estimates,UNdevelopmentgroups,a,1803,Label/Separator,900,1970,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
21,Estimates,UNdevelopmentgroups,a,1803,Label/Separator,900,1975,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
